location,area,bedrooms,bathrooms,parking,property_age,floors,price
Seethammadhara,1324,3,3,1,17,1,8262000
Seethammadhara,1526,3,2,1,12,2,10386000
Seethammadhara,1285,2,1,1,23,4,7507000
Yendada,1898,3,3,1,18,4,9776000
Seethammadhara,1040,2,2,2,8,1,7041000
Rushikonda,1828,3,2,2,21,2,9194000
Sujathanagar,1847,3,2,1,24,3,7004000
Madhurawada,1156,2,1,1,9,4,5498000
Yendada,1828,3,3,2,22,2,8501000
Seethammadhara,1999,3,3,1,18,1,10900000
Seethammadhara,2024,3,2,1,14,1,12118000
MVP Colony,1326,3,3,2,16,2,8792000
Seethammadhara,2821,4,4,2,3,1,17738000
Siripuram,2493,4,3,2,17,1,17905000
Seethammadhara,853,2,2,1,11,1,5439000
MVP Colony,1230,2,1,0,23,1,6809000
Seethammadhara,1650,3,3,1,17,1,9952000
Madhurawada,1762,3,3,2,3,2,9159000
Seethammadhara,742,1,1,1,22,2,4391000
Rushikonda,4202,5,4,3,13,3,24060000
Madhurawada,1265,2,1,0,9,1,5225000
Yendada,1118,2,2,0,6,2,5913000
MVP Colony,1060,2,2,1,12,2,7384000
Gajuwaka,2258,4,4,2,15,1,8923000
Yendada,957,2,2,0,13,3,5354000
MVP Colony,1204,2,2,2,12,2,8093000
Muralinagar,1020,2,2,1,10,3,5024000
Sujathanagar,1383,3,3,1,24,2,4515000
MVP Colony,1419,3,3,1,21,2,8758000
Siripuram,860,2,2,0,9,2,6499000
Muralinagar,2011,3,2,1,12,1,8947000
Gajuwaka,1283,2,2,1,6,3,5477000
Seethammadhara,3114,4,4,2,21,2,17633000
Seethammadhara,1348,3,3,1,14,1,8416000
Rushikonda,1673,3,2,1,9,1,9761000
Madhurawada,1909,3,3,1,8,1,8360000
Yendada,3115,4,4,3,23,2,15191000
Rushikonda,856,2,1,1,5,2,5148000
Madhurawada,1864,3,3,2,18,2,8062000
Gajuwaka,1109,2,2,1,19,2,4083000
MVP Colony,4226,5,5,3,5,4,32385000
Siripuram,1008,2,2,1,10,2,8736000
Gajuwaka,550,1,1,0,11,2,2268000
Sujathanagar,1079,2,2,1,11,2,4427000
Madhurawada,2837,4,4,3,4,2,14160000
Madhurawada,1535,3,2,1,14,2,6848000
MVP Colony,664,1,1,0,14,3,4173000
Madhurawada,681,1,1,1,5,3,3196000
Madhurawada,2775,4,4,2,5,1,12639000
Siripuram,1114,2,1,1,21,1,8254000
Siripuram,1223,2,2,2,8,3,11092000
Rushikonda,922,2,2,2,12,1,5717000
MVP Colony,1519,3,3,2,9,1,10358000
Rushikonda,874,2,2,1,22,2,4721000
Seethammadhara,1031,2,2,1,5,3,7454000
Rushikonda,1961,3,3,2,15,1,10910000
MVP Colony,628,1,1,0,12,2,4281000
Sujathanagar,1297,2,2,2,0,1,5618000
Yendada,2539,4,3,1,16,1,12458000
Yendada,1042,2,2,1,10,3,6096000
Gajuwaka,924,2,2,1,9,1,3882000
Madhurawada,898,2,2,0,14,1,3819000
MVP Colony,1943,3,3,2,12,1,12829000
Madhurawada,1288,2,1,1,0,1,5820000
Yendada,1065,2,2,0,20,2,5018000
Gajuwaka,1018,2,2,1,3,2,4650000
Madhurawada,1338,3,2,1,16,3,6060000
Seethammadhara,3100,5,4,2,13,4,20052000
Siripuram,3870,5,4,3,1,1,33870000
Rushikonda,989,2,2,1,11,1,5879000
Yendada,1405,3,3,2,4,3,8208000
Madhurawada,508,1,1,0,17,2,2160000
Rushikonda,969,2,2,1,3,2,6452000
Pendurthi,1119,2,2,1,9,1,3891000
Yendada,709,1,1,1,19,3,3866000
Siripuram,2519,4,4,2,21,4,17591000
MVP Colony,1083,2,1,1,17,1,6694000
Seethammadhara,1259,2,2,1,3,2,9278000
Siripuram,1149,2,1,0,1,1,9959000
Seethammadhara,1921,3,3,1,9,2,12689000
Seethammadhara,1011,2,2,0,5,2,7116000
Siripuram,1037,2,2,1,16,2,8132000
Seethammadhara,1203,2,2,0,7,1,7361000
Sujathanagar,1104,2,1,1,1,1,4784000
MVP Colony,2280,4,4,2,7,2,16457000
Madhurawada,932,2,2,0,6,2,4340000
Madhurawada,1078,2,2,1,22,2,4247000
Pendurthi,1222,2,2,1,21,2,3748000
MVP Colony,606,1,1,0,10,2,4146000
Rushikonda,1090,2,2,2,13,3,7352000
Pendurthi,645,1,1,0,7,2,2347000
Muralinagar,875,2,2,1,21,3,3915000
Muralinagar,953,2,1,1,8,1,4432000
Siripuram,1258,2,2,1,1,1,10915000
Seethammadhara,969,2,2,1,16,2,5678000
Yendada,2834,4,3,2,4,4,15842000
Sujathanagar,528,1,1,1,12,2,2261000
Madhurawada,1255,2,2,1,13,3,5553000
Madhurawada,1954,3,3,1,10,2,8718000
Siripuram,1001,2,1,1,18,2,7308000
Gajuwaka,3505,5,5,3,0,1,16454000
Seethammadhara,1448,3,3,1,9,1,9599000
Rushikonda,1855,3,3,2,7,1,11747000
Madhurawada,1151,2,2,1,8,4,5527000
Madhurawada,1196,2,1,1,0,1,5684000
Siripuram,1822,3,2,1,8,1,14687000
MVP Colony,600,1,1,1,4,4,4982000
Yendada,1959,3,3,1,5,1,10987000
Siripuram,1812,3,2,2,11,2,14734000
Yendada,2089,3,2,1,21,3,9642000
Seethammadhara,4438,5,4,3,0,1,33790000
Madhurawada,1181,2,2,0,24,1,4606000
Madhurawada,1065,2,1,1,7,2,4943000
MVP Colony,864,2,1,1,21,1,5077000
Rushikonda,1604,3,3,1,4,1,9583000
Seethammadhara,1962,3,3,1,0,3,14048000
MVP Colony,2056,4,3,2,19,2,12725000
Pendurthi,1745,3,3,2,17,2,6216000
Rushikonda,2016,4,4,3,23,2,10614000
Muralinagar,1190,2,1,1,16,1,5040000
Siripuram,865,2,2,1,16,2,6439000
Yendada,983,2,2,1,1,1,5512000
Gajuwaka,1558,3,3,1,22,2,5938000
Yendada,525,1,1,1,21,1,2463000
Madhurawada,1842,3,3,2,9,1,7772000
Madhurawada,873,2,2,2,24,1,3582000
Rushikonda,609,1,1,0,8,2,3615000
Sujathanagar,1204,2,2,1,16,3,4775000
Muralinagar,1898,3,2,1,10,2,8878000
Pendurthi,629,1,1,1,19,2,2321000
Seethammadhara,2058,4,4,2,23,4,11943000
Gajuwaka,1861,3,2,1,8,4,8208000
Sujathanagar,1759,3,2,2,23,1,5907000
Seethammadhara,1999,3,3,1,22,2,11629000
MVP Colony,1183,2,2,1,2,1,8541000
Gajuwaka,1525,3,3,1,11,1,6250000
Madhurawada,1107,2,2,1,6,1,4780000
Muralinagar,569,1,1,0,5,1,2546000
Seethammadhara,1225,2,2,1,14,1,7313000
Gajuwaka,2843,4,3,1,6,2,12106000
Seethammadhara,2745,4,3,3,17,1,17087000
Seethammadhara,2308,4,4,2,4,1,16626000
Seethammadhara,1177,2,2,1,24,3,6526000
Muralinagar,1775,3,2,1,5,4,8381000
Yendada,1411,3,3,1,4,2,7990000
Madhurawada,1539,3,3,1,22,3,5954000
Rushikonda,2365,4,3,2,8,3,13962000
Muralinagar,1889,3,2,1,22,1,7679000
Rushikonda,923,2,2,1,20,2,5542000
Muralinagar,1281,2,2,2,10,1,5505000
Madhurawada,2378,4,3,3,1,2,12036000
Rushikonda,1305,3,2,2,18,2,7839000
Madhurawada,743,1,1,0,7,1,3143000
Rushikonda,986,2,1,1,6,2,5956000
Gajuwaka,4777,5,5,2,22,2,16964000
Madhurawada,1534,3,3,1,7,2,7090000
Siripuram,1145,2,2,1,16,3,9587000
Sujathanagar,1138,2,2,1,20,1,4016000
Rushikonda,1111,2,2,1,0,1,6795000
Madhurawada,1532,3,3,1,24,1,5317000
Sujathanagar,4469,5,5,2,13,2,16524000
Yendada,1135,2,2,0,19,2,5325000
MVP Colony,2007,3,3,2,10,2,14219000
Sujathanagar,939,2,2,1,12,1,3603000
Yendada,1194,2,2,1,12,2,6549000
Rushikonda,2043,3,3,2,11,2,11930000
Seethammadhara,1073,2,2,1,12,2,7168000
Gajuwaka,553,1,1,1,10,1,2351000
Yendada,1176,2,2,1,12,1,6035000
Madhurawada,1351,3,3,2,9,2,6743000
Sujathanagar,1966,3,3,1,9,2,8285000
Gajuwaka,1827,3,2,2,23,1,6638000
Seethammadhara,1198,2,2,0,11,1,7372000
Rushikonda,1025,2,2,2,17,3,6160000
Siripuram,1085,2,2,0,5,2,9201000
Gajuwaka,1194,2,2,1,21,2,4422000
MVP Colony,970,2,2,1,19,2,5813000
Madhurawada,622,1,1,1,13,2,2876000
Gajuwaka,1630,3,3,1,21,2,6095000
Muralinagar,1417,3,3,1,5,2,6987000
Rushikonda,3127,5,5,3,9,2,19718000
Muralinagar,1167,2,2,1,22,1,4876000
MVP Colony,1175,2,2,1,1,3,9372000
Muralinagar,1851,3,3,1,18,2,8716000
Seethammadhara,3783,5,4,3,15,3,23042000
Rushikonda,570,1,1,0,0,2,3599000
Gajuwaka,965,2,2,0,9,3,4120000
Seethammadhara,1296,2,2,1,12,3,8507000
Siripuram,1643,3,3,2,6,1,14115000
Gajuwaka,1658,3,3,1,6,2,7508000
Gajuwaka,865,2,2,2,20,1,3428000
Yendada,1596,3,3,2,6,3,9740000
Yendada,2874,4,4,2,5,3,15695000
Madhurawada,1926,3,2,2,10,1,8447000
Siripuram,1639,3,2,1,8,2,13168000
Rushikonda,1956,3,3,1,22,2,10202000
Seethammadhara,855,2,2,1,4,1,6039000
Sujathanagar,905,2,2,0,15,3,3776000
Yendada,656,1,1,0,23,2,3081000
Madhurawada,2557,4,3,2,4,1,11925000
Madhurawada,1683,3,2,2,18,3,6925000
Pendurthi,1005,2,2,2,7,2,4195000
Seethammadhara,1747,3,3,1,9,1,11080000
Yendada,1098,2,1,0,5,2,6078000
Madhurawada,1964,3,3,1,18,1,8487000
Yendada,1492,3,3,1,11,1,7943000
MVP Colony,888,2,2,1,0,3,7760000
Muralinagar,1115,2,2,1,2,2,5590000
Sujathanagar,1355,3,2,1,19,2,4682000
Madhurawada,954,2,1,1,1,2,4623000
Yendada,943,2,1,1,1,2,5467000
Sujathanagar,1448,3,3,1,21,2,5497000
Gajuwaka,1681,3,3,2,4,1,7599000
Seethammadhara,2016,3,2,1,15,1,12774000
Madhurawada,2586,4,4,2,4,2,11437000
Yendada,1686,3,2,2,13,2,8615000
Madhurawada,1265,2,2,1,18,2,4906000
Gajuwaka,1225,2,2,1,8,2,5593000
Sujathanagar,1940,3,3,1,3,1,8020000
Sujathanagar,995,2,2,1,8,1,3693000
Madhurawada,1538,3,2,1,0,3,7745000
MVP Colony,691,1,1,0,7,1,4753000
Pendurthi,2797,4,4,1,10,4,9563000
Muralinagar,1900,3,2,2,23,4,8005000
Seethammadhara,1050,2,2,1,9,4,7245000
Sujathanagar,3440,5,5,2,8,2,13966000
Muralinagar,1085,2,2,1,22,3,4624000
Madhurawada,1999,3,2,1,8,2,8838000
Yendada,1463,3,2,2,3,1,8546000
Rushikonda,1156,2,2,1,17,2,6776000
MVP Colony,1106,2,2,1,3,1,8551000
Rushikonda,2109,4,4,2,9,1,12556000
Muralinagar,850,2,2,1,22,1,3578000
MVP Colony,638,1,1,1,2,2,4750000
Rushikonda,1892,3,3,1,20,2,10232000
Rushikonda,1429,3,2,1,21,4,7790000
Madhurawada,1514,3,3,2,9,4,7619000
Sujathanagar,955,2,1,2,7,4,4452000
Rushikonda,902,2,2,2,4,1,6312000
Rushikonda,1125,2,2,1,17,1,5845000
Gajuwaka,1050,2,2,1,22,2,3867000
Madhurawada,1217,2,2,1,18,1,4931000
Siripuram,1180,2,2,2,10,2,9109000
Madhurawada,1171,2,2,0,12,2,5030000
Seethammadhara,934,2,2,1,8,2,6389000
Seethammadhara,1720,3,3,1,22,2,9387000
Madhurawada,1569,3,2,1,15,2,6621000
Madhurawada,869,2,2,1,21,1,3768000
Sujathanagar,1035,2,2,1,18,3,4296000
Rushikonda,1764,3,2,2,8,2,11172000
Yendada,1014,2,1,2,20,1,4900000
Yendada,2869,4,4,3,15,1,13951000
MVP Colony,1807,3,3,1,8,2,13194000
Yendada,2105,4,3,2,18,1,9924000
Seethammadhara,926,2,2,1,9,3,6662000
Pendurthi,1667,3,2,1,16,3,5247000
Seethammadhara,1295,2,2,0,1,1,9199000
Madhurawada,1358,3,3,2,10,2,6377000
MVP Colony,1135,2,2,1,22,3,7541000
Pendurthi,1083,2,2,0,23,3,3223000
Madhurawada,1006,2,2,1,21,1,3988000
Yendada,2092,3,3,2,22,3,10943000
MVP Colony,507,1,1,0,15,3,3391000
Gajuwaka,1609,3,3,1,8,2,7202000
Seethammadhara,1786,3,3,1,10,3,11501000
Sujathanagar,960,2,1,1,19,1,3557000
Seethammadhara,540,1,1,0,1,2,3781000
Seethammadhara,1701,3,3,2,7,2,11860000
MVP Colony,543,1,1,1,0,1,4286000
Madhurawada,989,2,2,2,15,2,4298000
Madhurawada,1567,3,3,1,8,1,6950000
MVP Colony,1988,3,3,1,7,3,14571000
Gajuwaka,996,2,2,1,17,3,4523000
Madhurawada,1194,2,2,1,11,2,4964000
Madhurawada,1922,3,3,1,1,1,9072000
Madhurawada,522,1,1,1,20,2,2352000
Madhurawada,1233,2,2,1,16,1,4948000
Madhurawada,1043,2,2,0,23,2,3720000
Seethammadhara,1115,2,1,0,19,3,6431000
Seethammadhara,1078,2,2,0,5,1,7098000
Muralinagar,2203,4,3,3,9,1,10565000
Pendurthi,1821,3,3,1,4,3,6414000
Rushikonda,1062,2,2,2,3,1,7086000
Siripuram,1734,3,3,1,15,1,12971000
Yendada,1212,2,2,2,7,2,6982000
Madhurawada,1612,3,2,2,8,1,6942000
MVP Colony,2788,4,4,1,24,2,15845000
Seethammadhara,1202,2,2,1,20,3,7507000
Gajuwaka,927,2,2,1,5,1,4332000
Yendada,941,2,2,1,20,3,4952000
MVP Colony,1197,2,2,2,10,3,9216000
Siripuram,875,2,2,1,17,1,6435000
Siripuram,1572,3,3,1,3,1,13566000
Yendada,1282,2,2,2,24,3,6484000
MVP Colony,1539,3,3,1,8,1,10004000
MVP Colony,1658,3,3,1,8,1,11417000
Gajuwaka,2034,3,3,1,6,2,8529000
Seethammadhara,1849,3,3,1,4,2,12380000
Yendada,2986,4,4,3,12,1,16033000
Siripuram,3072,5,5,2,23,2,21354000
MVP Colony,592,1,1,1,9,2,4253000
Siripuram,2081,3,3,1,23,3,13474000
Gajuwaka,599,1,1,0,4,1,2508000
Muralinagar,1225,2,2,1,10,1,5778000
Muralinagar,3097,4,3,1,23,1,11966000
Rushikonda,919,2,2,1,21,3,5572000
Yendada,674,1,1,0,19,2,3046000
Seethammadhara,2225,4,3,1,9,3,14036000
Siripuram,909,2,2,2,0,2,8102000
Sujathanagar,1732,3,3,2,23,3,6499000
MVP Colony,1900,3,2,1,9,4,13384000
MVP Colony,851,2,2,1,13,1,5454000
Seethammadhara,2843,4,3,1,10,1,18060000
MVP Colony,1096,2,1,1,21,2,6888000
Seethammadhara,937,2,2,1,16,2,5612000
Yendada,1513,3,2,2,11,2,8074000
Madhurawada,1086,2,1,0,20,1,4081000
Sujathanagar,2382,4,4,1,2,2,10983000
Muralinagar,892,2,2,1,13,1,4616000
Rushikonda,1077,2,2,0,21,2,5600000
Siripuram,1005,2,2,1,4,1,8347000
Rushikonda,1758,3,2,2,1,2,11815000
Yendada,975,2,2,0,6,1,4913000
Siripuram,1865,3,2,2,22,2,12968000
Yendada,1842,3,2,2,0,1,10578000
Madhurawada,896,2,2,1,15,1,3840000
Madhurawada,2133,4,4,2,16,2,8413000
Madhurawada,908,2,2,2,22,1,3992000
Siripuram,1160,2,2,1,18,2,8071000
Pendurthi,1149,2,1,1,14,2,3955000
Gajuwaka,1286,2,1,1,14,1,5153000
Seethammadhara,2085,3,2,1,11,3,12756000
Muralinagar,1766,3,2,1,3,2,8984000
Madhurawada,1751,3,3,1,20,3,7289000
Sujathanagar,1143,2,2,1,14,1,4379000
Gajuwaka,543,1,1,0,12,3,2457000
Madhurawada,1606,3,3,1,4,1,7450000
MVP Colony,1054,2,2,0,8,3,7815000
Siripuram,1219,2,1,1,18,2,9648000
Madhurawada,918,2,2,1,6,1,4104000
Yendada,1038,2,1,1,23,2,5085000
Siripuram,2131,4,4,1,4,3,18405000
Seethammadhara,1234,2,2,1,0,4,9741000
Muralinagar,861,2,2,1,18,2,3987000
Pendurthi,1827,3,3,1,2,2,7140000
Madhurawada,961,2,1,0,14,1,3707000
Seethammadhara,1297,2,2,1,19,3,7749000
Siripuram,2274,4,4,3,9,4,19929000
MVP Colony,938,2,2,1,2,1,7002000
Sujathanagar,2034,3,2,2,12,1,8678000
MVP Colony,1771,3,2,1,6,2,13074000
Madhurawada,2165,4,4,1,19,2,8732000
Siripuram,859,2,2,1,3,2,7778000
Madhurawada,1795,3,3,2,8,1,8259000
Yendada,1307,3,2,2,0,1,7944000
Muralinagar,2085,3,3,2,21,1,8579000
Seethammadhara,524,1,1,1,22,2,3242000
MVP Colony,3169,4,4,3,15,3,19969000
Seethammadhara,2046,3,2,2,5,2,14114000
Sujathanagar,728,1,1,1,24,1,2442000
Muralinagar,1567,3,2,2,24,2,6263000
Yendada,878,2,2,1,16,2,4538000
Yendada,2834,4,3,2,12,1,15114000
Yendada,3552,5,4,2,21,2,16778000
Seethammadhara,1911,3,3,2,23,1,10965000
Sujathanagar,2004,3,3,2,12,2,8273000
Madhurawada,1103,2,1,1,4,1,5254000
Rushikonda,712,1,1,1,15,2,3987000
Madhurawada,1587,3,3,2,10,4,7893000
MVP Colony,1560,3,2,1,2,1,11403000
Seethammadhara,1314,3,3,1,6,1,9061000
Gajuwaka,1712,3,2,2,18,3,6542000
MVP Colony,2046,3,3,2,3,1,14717000
Yendada,586,1,1,0,3,3,3527000
Siripuram,903,2,2,1,8,1,7079000
Rushikonda,961,2,1,0,5,3,5875000
Siripuram,1182,2,1,1,0,1,10461000
Rushikonda,897,2,2,1,18,2,5172000
Gajuwaka,1755,3,3,1,5,2,8223000
Siripuram,1323,3,3,1,23,4,9784000
Madhurawada,1299,2,1,1,1,3,6358000
Madhurawada,1554,3,3,1,13,1,6327000
Yendada,3093,4,4,1,15,1,16176000
Sujathanagar,1828,3,3,2,18,1,6538000
Gajuwaka,1737,3,3,1,15,3,7258000
Seethammadhara,1974,3,3,2,5,1,13085000
MVP Colony,2827,4,3,1,22,1,17605000
Siripuram,1109,2,2,2,8,1,10147000
Yendada,2982,4,3,1,23,2,12878000
MVP Colony,1008,2,2,1,11,3,7526000
Madhurawada,1080,2,1,0,0,2,5268000
Yendada,1744,3,2,1,17,2,7974000
Rushikonda,1211,2,2,1,11,4,7801000
Gajuwaka,1009,2,1,1,21,3,3629000
MVP Colony,850,2,1,2,16,2,5483000
MVP Colony,1854,3,3,2,18,3,11871000
Gajuwaka,544,1,1,0,9,2,2204000
Madhurawada,2005,3,3,1,7,1,9255000
Yendada,1227,2,2,0,23,2,5466000
Madhurawada,984,2,2,1,6,4,4828000
Siripuram,2974,4,4,2,19,1,20490000
Muralinagar,1773,3,3,2,12,3,7954000
Gajuwaka,956,2,2,1,15,3,4047000
Yendada,1846,3,3,2,8,2,10199000
Siripuram,1012,2,2,1,22,3,7302000
Yendada,1185,2,2,1,14,3,6327000
Rushikonda,1438,3,3,1,0,2,9470000
MVP Colony,1198,2,2,1,11,4,9114000
Sujathanagar,618,1,1,1,3,2,2854000
Seethammadhara,991,2,2,1,23,1,5452000
Pendurthi,868,2,2,1,5,3,3611000
Madhurawada,1732,3,2,2,12,2,7482000
Seethammadhara,1610,3,3,1,18,1,9355000
Madhurawada,2254,4,4,3,6,1,10705000
Muralinagar,698,1,1,0,23,1,2911000
Gajuwaka,720,1,1,1,18,3,2952000
Muralinagar,4138,5,4,2,10,3,18368000
Yendada,576,1,1,1,4,1,3062000
Yendada,1307,3,3,1,12,3,7581000
Muralinagar,1852,3,3,2,10,1,8683000
Siripuram,1236,2,1,1,24,2,8267000
Madhurawada,1122,2,2,1,23,1,4482000
Siripuram,1813,3,3,1,24,2,12442000
Pendurthi,1427,3,3,1,21,2,4798000
Pendurthi,2713,4,3,2,9,2,9384000
MVP Colony,1360,3,3,2,10,2,9197000
Gajuwaka,1789,3,3,2,20,1,6955000
Sujathanagar,861,2,1,1,17,3,3373000
Seethammadhara,882,2,1,1,2,2,6185000
Madhurawada,906,2,2,1,12,3,4587000
Sujathanagar,985,2,1,1,6,2,4132000
MVP Colony,994,2,1,1,10,2,6809000
Yendada,1936,3,3,1,1,2,11557000
Siripuram,2528,4,4,2,8,2,20955000
Sujathanagar,1396,3,3,2,15,3,5742000
Pendurthi,1561,3,2,1,2,1,5980000
Pendurthi,1103,2,1,1,11,2,3670000
Madhurawada,1544,3,3,1,21,4,6584000
Muralinagar,1577,3,3,2,8,1,7747000
Muralinagar,1222,2,2,2,3,1,5986000
Rushikonda,672,1,1,0,24,3,3653000
Muralinagar,1816,3,3,2,21,1,7453000
MVP Colony,1114,2,2,1,15,1,7539000
Yendada,962,2,2,0,23,3,4825000
Siripuram,1036,2,2,1,7,3,9048000
Seethammadhara,1333,3,3,1,15,2,8217000
MVP Colony,1772,3,3,1,14,1,12289000
Yendada,1252,2,2,1,5,4,7806000
Rushikonda,1190,2,1,1,24,1,5820000
Gajuwaka,3631,5,4,3,9,1,14337000
MVP Colony,1155,2,2,1,16,2,7734000
Rushikonda,1379,3,2,1,2,4,9844000
Madhurawada,1051,2,2,1,0,1,4926000
Gajuwaka,1161,2,2,1,11,2,4795000
Rushikonda,1411,3,3,2,20,2,7851000
Yendada,884,2,2,0,24,2,4095000
Sujathanagar,935,2,2,0,23,2,3255000
Yendada,1137,2,2,2,3,1,7041000
Siripuram,741,1,1,1,23,2,5743000
MVP Colony,1142,2,2,2,19,3,7481000
Muralinagar,2033,3,2,1,0,4,10506000
MVP Colony,975,2,1,1,15,1,6083000
Muralinagar,923,2,2,1,15,3,4265000
Madhurawada,2867,4,4,2,16,2,11926000
Sujathanagar,672,1,1,0,6,3,2987000
Gajuwaka,2015,3,3,2,11,2,7866000
Pendurthi,2675,4,3,1,11,3,9223000
Rushikonda,1150,2,2,1,21,1,6115000
Gajuwaka,543,1,1,1,18,1,2144000
Madhurawada,931,2,2,1,2,2,4156000
Madhurawada,1160,2,1,0,19,1,4158000
Yendada,943,2,1,1,23,3,4717000
Muralinagar,2573,4,3,2,20,2,10798000
Pendurthi,2458,4,3,2,10,1,9003000
Gajuwaka,1096,2,1,1,15,3,4503000
Madhurawada,1697,3,3,2,9,2,7703000
Madhurawada,1175,2,2,1,5,2,5900000
Gajuwaka,1647,3,3,1,18,1,6431000
Siripuram,1135,2,2,1,17,2,8463000
MVP Colony,1371,3,3,1,23,2,8156000
Rushikonda,2033,3,3,2,12,2,12163000
Siripuram,868,2,2,0,15,2,6432000
Siripuram,1520,3,3,2,20,1,11279000
Siripuram,1006,2,1,0,20,1,7061000
MVP Colony,686,1,1,0,18,4,4726000
MVP Colony,3031,4,4,2,2,2,23139000
Pendurthi,1101,2,1,0,3,1,3746000
Madhurawada,1236,2,2,1,19,2,4713000
Rushikonda,1094,2,1,1,9,1,6624000
Yendada,1953,3,2,1,14,1,10415000
Seethammadhara,1866,3,3,2,14,2,12116000
Pendurthi,1064,2,2,1,21,3,3595000
Gajuwaka,4501,5,4,2,14,1,16965000
MVP Colony,1081,2,2,1,21,2,6291000
Madhurawada,1602,3,3,1,8,2,7292000
Muralinagar,1049,2,2,1,11,1,4865000
Pendurthi,1723,3,3,2,0,4,7315000
Madhurawada,1108,2,2,1,21,3,4662000
Yendada,1934,3,3,1,20,2,9225000
Seethammadhara,1338,3,3,1,24,2,7966000
Pendurthi,864,2,2,1,22,1,2854000
Siripuram,700,1,1,0,20,2,4546000
Pendurthi,1954,3,2,1,8,2,6772000
Yendada,902,2,2,1,23,3,4453000
Yendada,937,2,2,1,5,3,5717000
Madhurawada,1089,2,2,0,16,2,4520000
Siripuram,864,2,2,1,22,3,6686000
Seethammadhara,1946,3,2,1,4,2,13463000
Siripuram,1185,2,2,0,1,1,10581000
Seethammadhara,1005,2,2,1,8,1,6344000
Gajuwaka,644,1,1,0,22,3,2476000
Rushikonda,1261,2,1,1,12,2,7775000
MVP Colony,1464,3,2,1,0,2,11823000
Pendurthi,2327,4,4,2,14,1,7672000
Sujathanagar,1629,3,3,1,20,2,6100000
Sujathanagar,989,2,2,1,13,1,3844000
Pendurthi,4130,5,5,3,17,1,12475000
Seethammadhara,2230,4,4,2,9,1,15147000
Rushikonda,627,1,1,1,2,3,4381000
Gajuwaka,1410,3,3,1,4,2,6710000
Yendada,1397,3,3,2,0,2,8390000
Seethammadhara,957,2,2,0,24,2,5212000
Muralinagar,1773,3,2,2,2,4,9461000
Siripuram,525,1,1,0,3,2,4523000
Siripuram,554,1,1,0,9,2,4437000
Madhurawada,2332,4,4,3,16,1,9506000
Yendada,1559,3,3,1,6,1,9217000
Yendada,1005,2,2,1,2,1,5594000
MVP Colony,2738,4,4,2,21,1,16160000
Muralinagar,1902,3,3,2,10,2,8826000
Siripuram,1359,3,3,2,2,3,12468000
Seethammadhara,1464,3,3,2,23,3,9191000
Sujathanagar,1074,2,2,1,18,2,3963000
Pendurthi,862,2,1,1,7,2,3076000
Muralinagar,920,2,2,1,10,1,4650000
Muralinagar,1103,2,1,1,11,2,5476000
Yendada,1174,2,1,0,1,2,6735000
Madhurawada,1353,3,3,1,23,2,5219000
MVP Colony,1272,2,1,1,24,1,7168000
Madhurawada,584,1,1,0,16,3,2573000
Rushikonda,1870,3,3,1,22,2,9534000
Siripuram,1119,2,2,0,19,1,7883000
Gajuwaka,878,2,2,1,20,1,3316000
Madhurawada,865,2,1,0,19,1,3218000
MVP Colony,711,1,1,0,0,1,5110000
Siripuram,952,2,2,1,23,1,7139000
Yendada,1274,2,1,0,12,2,6030000
MVP Colony,1216,2,2,1,2,1,9272000
Muralinagar,1369,3,2,1,21,1,5220000
Madhurawada,1515,3,2,1,11,2,6287000
Madhurawada,517,1,1,1,6,1,2528000
Yendada,1468,3,3,2,24,1,6732000
Muralinagar,854,2,2,1,24,2,3651000
Rushikonda,1956,3,3,1,13,4,11284000
Yendada,1296,2,2,1,6,1,7225000
Madhurawada,1825,3,3,1,22,2,7280000
Siripuram,1986,3,2,2,10,1,15209000
Muralinagar,962,2,2,2,0,1,4926000
Gajuwaka,1675,3,3,2,14,2,6841000
Yendada,905,2,2,0,8,2,4660000
Muralinagar,660,1,1,0,22,1,2495000
Muralinagar,677,1,1,1,13,2,3125000
Gajuwaka,1852,3,2,1,22,3,6739000
Muralinagar,944,2,1,2,11,2,4771000
Yendada,2051,3,3,2,24,3,9827000
Yendada,1945,3,3,1,10,2,9878000
Yendada,1075,2,1,1,17,2,5034000
Gajuwaka,1037,2,1,1,22,1,3556000
Seethammadhara,2132,4,4,1,19,1,11941000
Sujathanagar,1465,3,3,1,9,2,5915000
Muralinagar,1192,2,2,0,8,2,5621000
MVP Colony,999,2,1,0,14,1,6638000
Muralinagar,519,1,1,0,11,1,2323000
Seethammadhara,1212,2,2,1,9,2,8513000
Rushikonda,623,1,1,1,18,4,3952000
Gajuwaka,1028,2,2,1,15,1,4256000
Seethammadhara,2620,4,4,1,4,1,18351000
Muralinagar,1881,3,3,1,19,1,7548000
Muralinagar,1010,2,2,1,24,2,4330000
Madhurawada,1782,3,3,1,18,1,7511000
MVP Colony,1341,3,3,1,23,1,8468000
Siripuram,1114,2,1,1,17,1,7920000
Yendada,1695,3,2,1,7,2,8580000
Pendurthi,1325,3,3,1,1,3,5081000
Yendada,1212,2,1,1,22,1,5662000
Siripuram,1345,3,2,2,20,3,10110000
Yendada,1891,3,3,1,1,1,10709000
Madhurawada,1508,3,3,1,21,2,6195000
Gajuwaka,1589,3,3,2,0,1,7299000
MVP Colony,1042,2,2,1,24,2,5790000
